match_id,league_name,kickoff_time,home_team,away_team,market,asian_line,ou_line,water_hk,decimal_odds,bet_direction,goal_diff,total_goals,y_pred,y_true,result,bet_type,bet_detail,profit_original,profit_correct,profit_discrepancy
f0b96afb35cc,英超,2025-01-14 01:30:00,纽卡斯尔联,曼彻斯特城,over_under,,2.75,0.91,1.91,大球,-1.0,5.0,1,1,win,FULL_WIN,"线2.75, 总球5.0",91.0,90.99999999999999,-1.4210854715202004e-14
062fdd1b7fc9,德甲,2025-01-20 22:30:00,达姆施塔特,法兰克福,over_under,,2.75,1.03,2.03,大球,0.0,4.0,1,1,win,FULL_WIN,"线2.75, 总球4.0",103.0,102.99999999999999,-1.4210854715202004e-14
55f8777c313f,德甲,2024-02-26 22:30:00,弗赖堡,勒沃库森,asian,0.25,,1.06,2.06,主赢盘,0.0,2.0,2,2,win,HALF_WIN,"盘口+0.25, 净胜0.0, eff=+0.25",106.0,53.0,-53.0
ae2ad01d406d,法甲,2024-03-13 00:00:00,摩纳哥,兰斯,over_under,,2.75,1.0,2.0,大球,-1.0,1.0,1,0,lose,FULL_LOSE,"线2.75, 总球1.0",-100.0,-100.0,0.0
afd516f5d253,英超,2023-11-25 23:00:00,纽卡斯尔联,切尔西,over_under,,2.75,0.98,1.98,大球,3.0,5.0,1,1,win,FULL_WIN,"线2.75, 总球5.0",98.0,98.0,0.0
ac3a2e3f6937,意甲,2026-01-18 03:45:00,罗马,热那亚,asian,0.75,,0.9,1.9,主赢盘,2.0,4.0,2,2,win,FULL_WIN,"盘口+0.75, 净胜2.0, eff=+2.75",90.0,89.99999999999999,-1.4210854715202004e-14
dde4302c6752,法甲,2026-03-30 21:00:00,图卢兹,布雷斯特,over_under,,2.25,1.01,2.01,小球,-2.0,6.0,0,1,lose,FULL_LOSE,"线2.25, 总球6.0",-100.0,-100.0,0.0
706c7de5c9c1,英超,2024-02-18 20:30:00,阿斯顿维拉,阿森纳,asian,-0.75,,0.87,1.87,客赢盘,-2.0,6.0,0,0,win,FULL_WIN,"盘口-0.75, 净胜-2.0, eff=-2.75",87.0,87.00000000000001,1.4210854715202004e-14
f4ae630bde0c,德甲,2024-11-11 02:30:00,海登海姆,沃尔夫斯堡,asian,0.0,,0.95,1.95,客赢盘,-2.0,4.0,0,0,win,FULL_WIN,"盘口+0.00, 净胜-2.0",95.0,95.0,0.0
6163607d8e0c,西甲,2023-12-16 21:00:00,维戈塞尔塔,格拉纳达,asian,1.0,,1.0,2.0,主赢盘,1.0,1.0,2,2,win,FULL_WIN,"盘口+1.00, 净胜1.0",100.0,100.0,0.0
dc060f74043d,欧冠,2024-08-07 02:00:00,布拉格斯巴达,布加勒斯特星,over_under,,2.75,0.75,1.75,小球,0.0,2.0,0,0,win,HALF_LOSE,"线2.75, 总球2.0",75.0,-50.0,-125.0
665ac6b1257e,德甲,2023-09-03 00:30:00,门兴格拉德巴赫,拜仁慕尼黑,asian,-1.5,,1.04,2.04,客赢盘,-1.0,3.0,0,0,win,FULL_WIN,"盘口-1.50, 净胜-1.0",104.0,104.0,0.0
dca36f11a471,欧联,2022-10-28 00:45:00,马尔默,圣吉罗斯联合,over_under,,2.5,1.03,2.03,大球,-2.0,2.0,1,0,lose,FULL_LOSE,"线2.5, 总球2.0",-100.0,-100.0,0.0
cfa12bbac2c8,英超,2024-10-06 21:00:00,阿斯顿维拉,曼彻斯特联,asian,0.0,,0.83,1.83,主赢盘,0.0,0.0,2,1,push,PUSH,实际走水-全额退款,0.0,0.0,0.0
1f4d10dc0b36,西甲,2024-09-15 00:30:00,塞维利亚,赫塔费,over_under,,2.0,1.03,2.03,小球,1.0,1.0,0,0,win,FULL_WIN,"线2.0, 总球1.0",103.0,102.99999999999999,-1.4210854715202004e-14
0078adc34125,意甲,2024-12-15 19:30:00,莱切,蒙扎,asian,0.25,,0.85,1.85,主赢盘,1.0,3.0,2,2,win,FULL_WIN,"盘口+0.25, 净胜1.0, eff=+1.25",85.0,85.00000000000001,1.4210854715202004e-14
0f350694e4d1,英超,2024-12-17 04:00:00,AFC伯恩茅斯,西汉姆联,asian,0.75,,0.95,1.95,主赢盘,0.0,2.0,2,2,win,FULL_WIN,"盘口+0.75, 净胜0.0, eff=+0.75",95.0,95.0,0.0
c4b6f80236b6,意甲,2026-02-17 01:00:00,帕尔马,罗马,asian,-0.75,,0.9,1.9,客赢盘,-1.0,1.0,0,0,win,FULL_WIN,"盘口-0.75, 净胜-1.0, eff=-1.75",90.0,89.99999999999999,-1.4210854715202004e-14
ca3a9fd125c1,西甲,2025-02-26 04:00:00,皇家马德里,塞维利亚,asian,1.5,,0.91,1.91,主赢盘,1.0,1.0,2,2,win,FULL_WIN,"盘口+1.50, 净胜1.0",91.0,90.99999999999999,-1.4210854715202004e-14
2efac9a4f123,欧冠,2024-04-13 03:00:00,AC米兰,那不勒斯,over_under,,2.25,1.05,2.05,小球,1.0,1.0,0,0,win,FULL_WIN,"线2.25, 总球1.0",105.0,104.99999999999999,-1.4210854715202004e-14
0a3a07b4450d,德甲,2023-03-19 22:30:00,菲尔特,弗赖堡,over_under,,2.75,1.0,2.0,小球,0.0,0.0,0,0,win,FULL_WIN,"线2.75, 总球0.0",100.0,100.0,0.0
